"","Datasets","volume","center_x","center_y","MERFISH_cell_type_annotation","Region","Excitatory_vs_Inhibitory","Segment","Gender","Mouse_ID","AP_position","Section_ID"
"2707604700067100081","20240415",1276.37915039062,7406.21110995064,5801.42498748447,"MV_in_Sema5b",4,"inhibitory",15,"male","M3",3,"0415_M3_S"
"2796212800986100038","20240613",4494.86376953125,9914.72753673419,8397.08039194919,"oligodendrocyte_2",NA,NA,NA,"female","F4",1,"0613_F4_C"
"2656144900112100180","20240328",2117.8623046875,8282.69598113858,1206.51815053241,"endothelial",NA,NA,NA,"male","M1",1,"0328_M1_C"
"2787445900053200043","20240503",2298.6337890625,4588.81609628041,384.014023694646,"pericyte",NA,NA,NA,"female","F5",4,"0503_F5_T"
"2795103300233100096","20240610",2867.119140625,6873.49588935572,1651.43361911451,"DH_in_Cdh3",1,"inhibitory",10,"male","M4",2,"0610_M4_L"
"2787445900753100213","20240503",3171.271484375,3682.3438702533,5763.80302187483,"MV_in_Gabra1",4,"inhibitory",16,"female","F3",2,"0503_F3_L"
"2787889600412100201","20240503",3096.2607421875,6848.62814832304,9029.4262924681,"oligodendrocyte_progenitor_2",NA,NA,NA,"male","M4",4,"0503_M4_T"
"2796212800399100077","20240613",3103.61352539062,6794.45190318767,3445.17781902174,"DH_ex_Reln",1,"excitatory",6,"female","F4",2,"0613_F4_L"
"2946331700000001467","20240415",3036.45385742188,8196.98566120584,560.276898716867,"astrocyte_1",NA,NA,NA,"female","F2",1,"0415_F2_C"
"2796212800760100266","20240613",1776.40979003906,9373.50063585117,6599.06700078247,"DH_ex_Tac2",1,"excitatory",8,"female","F4",1,"0613_F4_C"
"2945606900000017077","20240328",2801.31225585938,3273.32357346587,7350.07615519618,"oligodendrocyte_2",NA,NA,NA,"female","F1",4,"0328_F1_T"
"2787445900548100167","20240503",2664.14965820312,8505.0645927256,4001.89729813172,"astrocyte_1",NA,NA,NA,"female","F3",1,"0503_F3_C"
"2707604000123100134","20240415",2515.02319335938,5515.22728173684,9726.5353014965,"oligodendrocyte_2",NA,NA,NA,"male","M3",4,"0415_M3_T"
"2795103300156100042","20240610",3755.3173828125,4847.84715597713,1052.21436346829,"oligodendrocyte_1",NA,NA,NA,"male","M4",4,"0610_M4_T"
"2656144900395100204","20240328",772.466064453125,7333.31450122769,4391.11238186611,"DH_in_Npy",1,"inhibitory",4,"male","M2",4,"0328_M2_T"
"2787445900097100208","20240503",1674.76708984375,6663.83740058367,663.22196279667,"DH_in_Cdh3",1,"inhibitory",4,"female","F5",1,"0503_F5_C"
"2796212800854100197","20240613",3220.71508789062,8964.95930202678,7380.93610968557,"astrocyte_1",NA,NA,NA,"female","F4",1,"0613_F4_C"
"2656143800129100068","20240328",3884.9228515625,2183.53752773631,3801.25467817084,"astrocyte_1",NA,NA,NA,"male","M3",1,"0328_M3_C"
"2787445900512200012","20240503",1141.33666992188,8788.40676262463,3749.12170250068,"meninges_1",NA,NA,NA,"female","F3",1,"0503_F3_C"
"2787445900361100208","20240503",174.762893676758,8074.40796696127,2596.96208382677,"MV_in_Esrrb",4,"inhibitory",14,"female","F4",1,"0503_F4_C"
"2795584800124200179","20240610",1488.36474609375,4656.63009603895,4842.02103686327,"DH_in_Pdyn",1,"inhibitory",2,"female","F3",4,"0610_F3_T"
"2787889600315100079","20240503",1699.50244140625,9868.47891660244,8090.10109643388,"oligodendrocyte_1",NA,NA,NA,"male","M4",1,"0503_M4_C"
"2787889600353100095","20240503",2229.525390625,10362.9610960686,8409.49184453781,"MV_in_Gm26673",4,"inhibitory",19,"male","M4",1,"0503_M4_C"
"2787445900858100201","20240503",4326.0126953125,2169.77699450904,6607.88546622069,"M_in_Tfap2b",3,"inhibitory",12,"female","F3",3,"0503_F3_S"
"2787445900618100070","20240503",2354.7109375,7297.02484883973,4513.30408570578,"astrocyte_1",NA,NA,NA,"female","F3",1,"0503_F3_C"
"2787889600351100126","20240503",1606.41931152344,9887.35512439464,8345.68181458852,"astrocyte_1",NA,NA,NA,"male","M4",1,"0503_M4_C"
"2796212800922100073","20240613",2608.79125976562,9946.15964042209,7786.676269733,"DH_ex_Prkcg/Rxfp1",1,"excitatory",6,"female","F4",1,"0613_F4_C"
"2787445900754100137","20240503",2756.93969726562,4100.16205809137,5655.47328186706,"astrocyte_1",NA,NA,NA,"female","F3",2,"0503_F3_L"
"2796212800265100093","20240613",2468.09375,5279.68747175485,2196.83786759269,"DH_ex_Sox5",1,"excitatory",5,"female","F4",3,"0613_F4_S"
"2787445900549100054","20240503",1828.50512695312,8903.1405265209,3841.27581682641,"DH_ex_Sox5/Tac1",1,"excitatory",5,"female","F3",1,"0503_F3_C"
"2787889600409100243","20240503",1657.06726074219,6012.55693558033,9054.81977203568,"MV_ex_Syt2",4,"excitatory",14,"male","M4",2,"0503_M4_L"
"2707737900021100138","20240415",3783.58056640625,10620.1106262845,8148.73973618587,"oligodendrocyte_progenitor_2",NA,NA,NA,"female","F1",3,"0415_F1_S"
"2787445900126100131","20240503",820.416687011719,4152.94066089287,978.674090559973,"endothelial",NA,NA,NA,"female","F5",4,"0503_F5_T"
"2656143800267100079","20240328",626.653259277344,5768.56310080347,5200.68870701437,"DH_in_Cdh3",1,"inhibitory",10,"male","M3",4,"0328_M3_T"
"2946331700000018601","20240415",1371.46789550781,10551.5766264877,3581.7491297072,"DH_in_Cdh3",1,"inhibitory",10,"female","F2",2,"0415_F2_L"
"2707604700037200059","20240415",4059.26220703125,5701.32277686297,5553.56870833214,"pericyte",NA,NA,NA,"male","M2",2,"0415_M2_L"
"2656143800468100060","20240328",2263.18798828125,6262.27480254573,7434.79797564544,"DH_ex_Reln/Nmur2",1,"excitatory",3,"male","M3",2,"0328_M3_L"
"2795903600372100097","20240613",2495.77026367188,2384.31408183323,7806.57768226479,"astrocyte_1",NA,NA,NA,"male","M4",2,"0613_M4_L"
"2787445900425100195","20240503",1995.88317871094,5113.97686385899,3203.86303410161,"astrocyte_1",NA,NA,NA,"female","F4",4,"0503_F4_T"
"2707737900112100022","20240415",3002.93872070312,10531.7058756937,10023.1575849617,"endothelial",NA,NA,NA,"female","F1",2,"0415_F1_L"
"2946331700000004514","20240415",1526.03259277344,8217.9163084754,1291.97928740428,"DM_ex_Zfhx3",2,"excitatory",11,"female","F2",1,"0415_F2_C"
"2795903600518100067","20240613",769.651184082031,6748.32398511519,9128.05439954074,"DH_ex_Grp",1,"excitatory",6,"male","M5",1,"0613_M5_C"
"2707604700272100112","20240415",1715.31213378906,4220.39673847161,8351.52010849921,"DH_in_Pdyn",1,"inhibitory",2,"male","M2",4,"0415_M2_T"
"2707604000109100211","20240415",3266.2685546875,5647.00567766344,9602.2527111661,"pericyte",NA,NA,NA,"male","M3",4,"0415_M3_T"
"2656144900058100068","20240328",3152.96508789062,7721.30725932057,646.2655331149,"peripheral_glia",NA,NA,NA,"male","M1",1,"0328_M1_C"
"2707604700365100052","20240415",2362.44750976562,3218.81805142805,9377.11497660505,"DH_ex_Grp",1,"excitatory",6,"male","M2",1,"0415_M2_C"
"2796212800456100305","20240613",2537.54516601562,5084.73119216692,4049.01075189922,"oligodendrocyte_progenitor_2",NA,NA,NA,"female","F3",2,"0613_F3_L"
"2796212800760100272","20240613",1287.26928710938,9389.72778961621,6599.28909898282,"oligodendrocyte_precursor_cell",NA,NA,NA,"female","F4",1,"0613_F4_C"
"2787889600092100060","20240503",2339.1494140625,7902.66430353816,6354.06327147168,"MV_in_Gabra1",4,"inhibitory",16,"male","M5",1,"0503_M5_C"
"2787889600196100010","20240503",2491.89331054688,6944.47956940637,7154.86635217824,"oligodendrocyte_2",NA,NA,NA,"male","M5",4,"0503_M5_T"
"2795584800411100147","20240610",1961.35534667969,4340.71583116261,7006.74785370674,"astrocyte_1",NA,NA,NA,"female","F4",4,"0610_F4_T"
"2795584800420100182","20240610",2129.4619140625,6867.8336717051,6982.44600822259,"oligodendrocyte_1",NA,NA,NA,"female","F4",2,"0610_F4_L"
"2787445900389100156","20240503",2726.8603515625,5286.41340264771,2861.65862190013,"pericyte",NA,NA,NA,"female","F4",4,"0503_F4_T"
"2656143800153100191","20240328",1818.12158203125,1986.58636864153,4210.90318103717,"MV_ex_Syt2",4,"excitatory",14,"male","M3",1,"0328_M3_C"
"2795103300382100107","20240610",1491.52221679688,9276.35325029329,2797.13755933143,"astrocyte_1",NA,NA,NA,"male","M5",3,"0610_M5_S"
"2787889600413100192","20240503",2159.63403320312,6968.54909829982,9046.75827782796,"MV_ex_Syt2",4,"excitatory",14,"male","M4",4,"0503_M4_T"
"2656144900504100204","20240328",2009.79797363281,8791.44488744988,5518.52452108571,"endothelial",NA,NA,NA,"male","M2",2,"0328_M2_L"
"2787445900253100102","20240503",2246.86474609375,8861.97439858038,1680.80629132086,"DH_in_Rorb",1,"inhibitory",7,"female","F4",1,"0503_F4_C"
"2787445900933100079","20240503",4189.34423828125,2301.62636656876,7032.97609553129,"astrocyte_1",NA,NA,NA,"female","F3",3,"0503_F3_S"
"2945606900000006599","20240328",5352.0078125,1598.516838804,5987.36801225206,"endothelial",NA,NA,NA,"female","F1",1,"0328_F1_C"
"2795903600435200091","20240613",4308.81640625,5442.98081016107,8387.05579673205,"oligodendrocyte_progenitor_2",NA,NA,NA,"male","M5",1,"0613_M5_C"
"2656143800078100083","20240328",1344.826171875,1979.64464425742,3257.24175264756,"DH_in_Npy",1,"inhibitory",4,"male","M3",1,"0328_M3_C"
